Make,Model,Total_Accidents,Total_Fatalities,Total_People_Aboard,Fatality_Rate
Beech,B90,13,14.0,58.0,0.2413793103448276
MD HELICOPTER,369,13,7.0,30.0,0.23333333333333334
Cessna,175B,13,6.0,27.0,0.2222222222222222
AMERICAN CHAMPION AIRCRAFT,7GCBC,13,5.0,23.0,0.21739130434782608
Boeing,737-800,13,154.0,712.0,0.21629213483146068
Ayres,S-2R,13,3.0,14.0,0.21428571428571427
CESSNA,182L,13,7.0,34.0,0.20588235294117646
Mcdonnell Douglas,DC-9-32,13,180.0,881.0,0.2043132803632236
BELL HELICOPTER TEXTRON,206L-1,13,6.0,30.0,0.2
Beech,BE-76,13,6.0,31.0,0.1935483870967742
Cessna,T182T,13,6.0,31.0,0.1935483870967742
Ryan,NAVION,13,5.0,28.0,0.17857142857142858
Cessna,411,13,6.0,34.0,0.17647058823529413
CESSNA,210L,13,6.0,36.0,0.16666666666666666
AIR TRACTOR INC,AT 502,13,2.0,13.0,0.15384615384615385
PIPER,PA 25-235,13,2.0,13.0,0.15384615384615385
Garlick,UH-1H,13,3.0,20.0,0.15
Maule,M-6-235,13,3.0,20.0,0.15
AYRES CORPORATION,S2R-T34,13,2.0,14.0,0.14285714285714285
Cessna,172SP,13,3.0,22.0,0.13636363636363635
Cessna,R172E,13,3.0,22.0,0.13636363636363635
Piper,PA-46,13,10.0,77.0,0.12987012987012986
PIPER,PA 28R-200,13,4.0,32.0,0.125
ROBINSON HELICOPTER COMPANY,R44,13,2.0,16.0,0.125
Piper,J5A,13,2.0,17.0,0.11764705882352941
Taylorcraft,F19,13,2.0,17.0,0.11764705882352941
Douglas,DC-9-32,13,111.0,960.0,0.115625
CESSNA,172E,13,3.0,26.0,0.11538461538461539
De Havilland,DHC-6-300,13,20.0,188.0,0.10638297872340426
CESSNA,180K,13,2.0,21.0,0.09523809523809523
Beech,E35,13,3.0,33.0,0.09090909090909091
SIKORSKY,S92,13,7.0,77.0,0.09090909090909091
Beech,BE-23,13,2.0,24.0,0.08333333333333333
AIR TRACTOR INC,AT-502,13,1.0,13.0,0.07692307692307693
AERONCA,7BCM,13,1.0,16.0,0.0625
LUSCOMBE,8E,13,1.0,20.0,0.05
Piper,PA-28-150,13,1.0,22.0,0.045454545454545456
Bell,206B-III,13,1.0,25.0,0.04
CESSNA,180A,13,1.0,29.0,0.034482758620689655
Aerospatiale,ATR-42-300,13,1.0,575.0,0.0017391304347826088
AMERICAN LEGEND AIRCRAFT CO,AL3,13,0.0,18.0,0.0
